VIDEO,DESCRIPTION1,DESCRIPTION2,DESCRIPTION3
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_apple/put_the_cup_touching_the_apple-2017-03-18-112112.mp4,put the cup touching the apple,put the cup in_front the apple,move the cup
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_apple/put_the_cup_touching_the_apple-2017-03-18-112135.mp4,put the cup right the apple,put the cup touching the apple,move the cup
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_apple/put_the_cup_touching_the_apple-2017-03-18-112159.mp4,put the cup touching the apple,move the cup,put the cup left the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_disc_touching_the_apple/put_the_disc_touching_the_apple-2017-03-18-112222.mp4,put the disc left the apple,put the disc touching the apple,move the disc
https://s3.amazonaws.com/voxsim-videos/video/put_the_disc_touching_the_apple/put_the_disc_touching_the_apple-2017-03-18-112229.mp4,put the disc touching the apple,move the disc,put the disc in_front the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_disc_touching_the_apple/put_the_disc_touching_the_apple-2017-03-18-112235.mp4,move the disc,put the disc touching the apple,put the disc in_front the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_book_touching_the_apple/put_the_book_touching_the_apple-2017-03-18-112242.mp4,put the book on the apple,move the book,put the book touching the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_book_touching_the_apple/put_the_book_touching_the_apple-2017-03-18-112250.mp4,move the book,put the book touching the apple,put the book in_front the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_book_touching_the_apple/put_the_book_touching_the_apple-2017-03-18-112302.mp4,put the book touching the apple,put the book behind the apple,move the book
https://s3.amazonaws.com/voxsim-videos/video/put_the_blackboard_touching_the_apple/put_the_blackboard_touching_the_apple-2017-03-18-112312.mp4,put the blackboard left the apple,put the blackboard touching the apple,move the blackboard
https://s3.amazonaws.com/voxsim-videos/video/put_the_blackboard_touching_the_apple/put_the_blackboard_touching_the_apple-2017-03-18-112324.mp4,put the blackboard touching the apple,move the blackboard,put the blackboard in_front the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_blackboard_touching_the_apple/put_the_blackboard_touching_the_apple-2017-03-18-112342.mp4,put the blackboard touching the apple,put the blackboard on the apple,move the blackboard
https://s3.amazonaws.com/voxsim-videos/video/put_the_bottle_touching_the_apple/put_the_bottle_touching_the_apple-2017-03-18-112406.mp4,put the bottle touching the apple,put the bottle behind the apple,move the bottle
https://s3.amazonaws.com/voxsim-videos/video/put_the_bottle_touching_the_apple/put_the_bottle_touching_the_apple-2017-03-18-112429.mp4,put the bottle left the apple,put the bottle touching the apple,move the bottle
https://s3.amazonaws.com/voxsim-videos/video/put_the_bottle_touching_the_apple/put_the_bottle_touching_the_apple-2017-03-18-112453.mp4,put the bottle on the apple,put the bottle touching the apple,move the bottle
https://s3.amazonaws.com/voxsim-videos/video/put_the_grape_touching_the_apple/put_the_grape_touching_the_apple-2017-03-18-112516.mp4,put the grape touching the apple,move the grape,put the grape on the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_grape_touching_the_apple/put_the_grape_touching_the_apple-2017-03-18-112523.mp4,put the grape touching the apple,move the grape,put the grape in_front the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_grape_touching_the_apple/put_the_grape_touching_the_apple-2017-03-18-112532.mp4,move the grape,put the grape in_front the apple,put the grape touching the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_banana_touching_the_apple/put_the_banana_touching_the_apple-2017-03-18-112539.mp4,put the banana in_front the apple,put the banana touching the apple,move the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_banana_touching_the_apple/put_the_banana_touching_the_apple-2017-03-18-112548.mp4,put the banana touching the apple,put the banana on the apple,move the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_banana_touching_the_apple/put_the_banana_touching_the_apple-2017-03-18-112603.mp4,move the banana,put the banana right the apple,put the banana touching the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_bowl_touching_the_apple/put_the_bowl_touching_the_apple-2017-03-18-112624.mp4,put the bowl left the apple,put the bowl touching the apple,move the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_bowl_touching_the_apple/put_the_bowl_touching_the_apple-2017-03-18-112631.mp4,move the bowl,put the bowl right the apple,put the bowl touching the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_bowl_touching_the_apple/put_the_bowl_touching_the_apple-2017-03-18-112639.mp4,put the bowl on the apple,move the bowl,put the bowl touching the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_knife_touching_the_apple/put_the_knife_touching_the_apple-2017-03-18-112647.mp4,move the knife,put the knife touching the apple,put the knife left the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_knife_touching_the_apple/put_the_knife_touching_the_apple-2017-03-18-112701.mp4,move the knife,put the knife right the apple,put the knife touching the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_knife_touching_the_apple/put_the_knife_touching_the_apple-2017-03-18-112724.mp4,put the knife on the apple,put the knife touching the apple,move the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_pencil_touching_the_apple/put_the_pencil_touching_the_apple-2017-03-18-121759.mp4,put the pencil left the apple,put the pencil touching the apple,move the pencil
https://s3.amazonaws.com/voxsim-videos/video/put_the_pencil_touching_the_apple/put_the_pencil_touching_the_apple-2017-03-18-121808.mp4,move the pencil,put the pencil on the apple,put the pencil touching the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_pencil_touching_the_apple/put_the_pencil_touching_the_apple-2017-03-18-121821.mp4,put the pencil right the apple,put the pencil touching the apple,move the pencil
https://s3.amazonaws.com/voxsim-videos/video/put_the_paper_sheet_touching_the_apple/put_the_paper_sheet_touching_the_apple-2017-03-18-121833.mp4,move the paper sheet,put the paper sheet touching the apple,put the paper sheet on the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_paper_sheet_touching_the_apple/put_the_paper_sheet_touching_the_apple-2017-03-18-121841.mp4,put the paper sheet on the apple,put the paper sheet touching the apple,move the paper sheet
https://s3.amazonaws.com/voxsim-videos/video/put_the_paper_sheet_touching_the_apple/put_the_paper_sheet_touching_the_apple-2017-03-18-121848.mp4,put the paper sheet right the apple,put the paper sheet touching the apple,move the paper sheet
https://s3.amazonaws.com/voxsim-videos/video/put_the_plate_touching_the_banana/put_the_plate_touching_the_banana-2017-03-18-121857.mp4,put the plate behind the banana,move the plate,put the plate touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_plate_touching_the_banana/put_the_plate_touching_the_banana-2017-03-18-121920.mp4,move the plate,put the plate on the banana,put the plate touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_plate_touching_the_banana/put_the_plate_touching_the_banana-2017-03-18-121929.mp4,put the plate touching the banana,move the plate,put the plate left the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_banana/put_the_cup_touching_the_banana-2017-03-18-121952.mp4,move the cup,put the cup on the banana,put the cup touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_banana/put_the_cup_touching_the_banana-2017-03-18-121959.mp4,move the cup,put the cup on the banana,put the cup touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_banana/put_the_cup_touching_the_banana-2017-03-18-122006.mp4,put the cup on the banana,move the cup,put the cup touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_disc_touching_the_banana/put_the_disc_touching_the_banana-2017-03-18-122013.mp4,move the disc,put the disc touching the banana,put the disc on the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_disc_touching_the_banana/put_the_disc_touching_the_banana-2017-03-18-122020.mp4,move the disc,put the disc touching the banana,put the disc on the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_disc_touching_the_banana/put_the_disc_touching_the_banana-2017-03-18-122027.mp4,move the disc,put the disc touching the banana,put the disc left the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_book_touching_the_banana/put_the_book_touching_the_banana-2017-03-18-122037.mp4,move the book,put the book behind the banana,put the book touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_book_touching_the_banana/put_the_book_touching_the_banana-2017-03-18-122058.mp4,put the book touching the banana,put the book behind the banana,move the book
https://s3.amazonaws.com/voxsim-videos/video/put_the_book_touching_the_banana/put_the_book_touching_the_banana-2017-03-18-122121.mp4,move the book,put the book right the banana,put the book touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_blackboard_touching_the_banana/put_the_blackboard_touching_the_banana-2017-03-18-122145.mp4,put the blackboard in_front the banana,move the blackboard,put the blackboard touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_blackboard_touching_the_banana/put_the_blackboard_touching_the_banana-2017-03-18-122155.mp4,put the blackboard right the banana,put the blackboard touching the banana,move the blackboard
https://s3.amazonaws.com/voxsim-videos/video/put_the_blackboard_touching_the_banana/put_the_blackboard_touching_the_banana-2017-03-18-122213.mp4,put the blackboard in_front the banana,put the blackboard touching the banana,move the blackboard
https://s3.amazonaws.com/voxsim-videos/video/put_the_bottle_touching_the_banana/put_the_bottle_touching_the_banana-2017-03-18-122224.mp4,put the bottle touching the banana,put the bottle left the banana,move the bottle
https://s3.amazonaws.com/voxsim-videos/video/put_the_bottle_touching_the_banana/put_the_bottle_touching_the_banana-2017-03-18-122303.mp4,put the bottle on the banana,put the bottle touching the banana,move the bottle
https://s3.amazonaws.com/voxsim-videos/video/put_the_bottle_touching_the_banana/put_the_bottle_touching_the_banana-2017-03-18-122311.mp4,put the bottle left the banana,put the bottle touching the banana,move the bottle
https://s3.amazonaws.com/voxsim-videos/video/put_the_grape_touching_the_banana/put_the_grape_touching_the_banana-2017-03-18-122335.mp4,put the grape touching the banana,put the grape on the banana,move the grape
https://s3.amazonaws.com/voxsim-videos/video/put_the_grape_touching_the_banana/put_the_grape_touching_the_banana-2017-03-18-122344.mp4,put the grape touching the banana,put the grape right the banana,move the grape
https://s3.amazonaws.com/voxsim-videos/video/put_the_grape_touching_the_banana/put_the_grape_touching_the_banana-2017-03-18-122354.mp4,put the grape touching the banana,move the grape,put the grape right the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_apple_touching_the_banana/put_the_apple_touching_the_banana-2017-03-18-122402.mp4,put the apple on the banana,put the apple touching the banana,move the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_apple_touching_the_banana/put_the_apple_touching_the_banana-2017-03-18-122409.mp4,put the apple left the banana,put the apple touching the banana,move the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_apple_touching_the_banana/put_the_apple_touching_the_banana-2017-03-18-122434.mp4,move the apple,put the apple behind the banana,put the apple touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_bowl_touching_the_banana/put_the_bowl_touching_the_banana-2017-03-18-122458.mp4,put the bowl touching the banana,move the bowl,put the bowl right the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_bowl_touching_the_banana/put_the_bowl_touching_the_banana-2017-03-18-122521.mp4,move the bowl,put the bowl right the banana,put the bowl touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_bowl_touching_the_banana/put_the_bowl_touching_the_banana-2017-03-18-122546.mp4,put the bowl touching the banana,move the bowl,put the bowl behind the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_knife_touching_the_banana/put_the_knife_touching_the_banana-2017-03-18-122610.mp4,move the knife,put the knife in_front the banana,put the knife touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_knife_touching_the_banana/put_the_knife_touching_the_banana-2017-03-18-122633.mp4,put the knife left the banana,move the knife,put the knife touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_knife_touching_the_banana/put_the_knife_touching_the_banana-2017-03-18-122642.mp4,put the knife left the banana,put the knife touching the banana,move the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_pencil_touching_the_banana/put_the_pencil_touching_the_banana-2017-03-18-122916.mp4,put the pencil touching the banana,move the pencil,put the pencil on the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_pencil_touching_the_banana/put_the_pencil_touching_the_banana-2017-03-18-122928.mp4,put the pencil in_front the banana,move the pencil,put the pencil touching the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_pencil_touching_the_banana/put_the_pencil_touching_the_banana-2017-03-18-122935.mp4,put the pencil touching the banana,move the pencil,put the pencil behind the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_paper_sheet_touching_the_banana/put_the_paper_sheet_touching_the_banana-2017-03-18-122941.mp4,put the paper sheet behind the banana,put the paper sheet touching the banana,move the paper sheet
https://s3.amazonaws.com/voxsim-videos/video/put_the_paper_sheet_touching_the_banana/put_the_paper_sheet_touching_the_banana-2017-03-18-122948.mp4,move the paper sheet,put the paper sheet touching the banana,put the paper sheet right the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_paper_sheet_touching_the_banana/put_the_paper_sheet_touching_the_banana-2017-03-18-122954.mp4,move the paper sheet,put the paper sheet touching the banana,put the paper sheet in_front the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_plate_touching_the_bowl/put_the_plate_touching_the_bowl-2017-03-18-123001.mp4,put the plate touching the bowl,put the plate in_front the bowl,move the plate
https://s3.amazonaws.com/voxsim-videos/video/put_the_plate_touching_the_bowl/put_the_plate_touching_the_bowl-2017-03-18-123008.mp4,put the plate touching the bowl,put the plate behind the bowl,move the plate
https://s3.amazonaws.com/voxsim-videos/video/put_the_plate_touching_the_bowl/put_the_plate_touching_the_bowl-2017-03-18-123017.mp4,put the plate left the bowl,put the plate touching the bowl,move the plate
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_bowl/put_the_cup_touching_the_bowl-2017-03-18-123026.mp4,put the cup in_front the bowl,move the cup,put the cup touching the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_bowl/put_the_cup_touching_the_bowl-2017-03-18-123049.mp4,put the cup right the bowl,put the cup touching the bowl,move the cup
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_bowl/put_the_cup_touching_the_bowl-2017-03-18-123113.mp4,put the cup touching the bowl,put the cup on the bowl,move the cup
https://s3.amazonaws.com/voxsim-videos/video/put_the_disc_touching_the_bowl/put_the_disc_touching_the_bowl-2017-03-18-123136.mp4,put the disc touching the bowl,put the disc in_front the bowl,move the disc
https://s3.amazonaws.com/voxsim-videos/video/put_the_disc_touching_the_bowl/put_the_disc_touching_the_bowl-2017-03-18-123143.mp4,put the disc left the bowl,move the disc,put the disc touching the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_disc_touching_the_bowl/put_the_disc_touching_the_bowl-2017-03-18-123150.mp4,put the disc behind the bowl,move the disc,put the disc touching the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_book_touching_the_bowl/put_the_book_touching_the_bowl-2017-03-18-123157.mp4,put the book in_front the bowl,put the book touching the bowl,move the book
https://s3.amazonaws.com/voxsim-videos/video/put_the_book_touching_the_bowl/put_the_book_touching_the_bowl-2017-03-18-123207.mp4,move the book,put the book on the bowl,put the book touching the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_book_touching_the_bowl/put_the_book_touching_the_bowl-2017-03-18-123223.mp4,put the book left the bowl,move the book,put the book touching the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_blackboard_touching_the_bowl/put_the_blackboard_touching_the_bowl-2017-03-18-123232.mp4,put the blackboard in_front the bowl,put the blackboard touching the bowl,move the blackboard
https://s3.amazonaws.com/voxsim-videos/video/put_the_blackboard_touching_the_bowl/put_the_blackboard_touching_the_bowl-2017-03-18-123255.mp4,put the blackboard touching the bowl,move the blackboard,put the blackboard on the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_blackboard_touching_the_bowl/put_the_blackboard_touching_the_bowl-2017-03-18-123319.mp4,move the blackboard,put the blackboard touching the bowl,put the blackboard right the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_bottle_touching_the_bowl/put_the_bottle_touching_the_bowl-2017-03-18-123344.mp4,put the bottle right the bowl,put the bottle touching the bowl,move the bottle
https://s3.amazonaws.com/voxsim-videos/video/put_the_bottle_touching_the_bowl/put_the_bottle_touching_the_bowl-2017-03-18-123407.mp4,move the bottle,put the bottle right the bowl,put the bottle touching the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_bottle_touching_the_bowl/put_the_bottle_touching_the_bowl-2017-03-18-123431.mp4,move the bottle,put the bottle right the bowl,put the bottle touching the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_grape_touching_the_bowl/put_the_grape_touching_the_bowl-2017-03-18-123455.mp4,put the grape touching the bowl,move the grape,put the grape right the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_grape_touching_the_bowl/put_the_grape_touching_the_bowl-2017-03-18-123504.mp4,move the grape,put the grape touching the bowl,put the grape left the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_grape_touching_the_bowl/put_the_grape_touching_the_bowl-2017-03-18-123511.mp4,put the grape touching the bowl,move the grape,put the grape right the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_apple_touching_the_bowl/put_the_apple_touching_the_bowl-2017-03-18-123519.mp4,put the apple behind the bowl,move the apple,put the apple touching the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_apple_touching_the_bowl/put_the_apple_touching_the_bowl-2017-03-18-123543.mp4,put the apple behind the bowl,move the apple,put the apple touching the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_apple_touching_the_bowl/put_the_apple_touching_the_bowl-2017-03-18-123606.mp4,put the apple behind the bowl,move the apple,put the apple touching the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_banana_touching_the_bowl/put_the_banana_touching_the_bowl-2017-03-18-123630.mp4,move the banana,put the banana touching the bowl,put the banana right the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_banana_touching_the_bowl/put_the_banana_touching_the_bowl-2017-03-18-123644.mp4,move the banana,put the banana right the bowl,put the banana touching the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_banana_touching_the_bowl/put_the_banana_touching_the_bowl-2017-03-18-123659.mp4,put the banana touching the bowl,move the banana,put the banana left the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_knife_touching_the_bowl/put_the_knife_touching_the_bowl-2017-03-18-123716.mp4,put the knife touching the bowl,put the knife on the bowl,move the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_knife_touching_the_bowl/put_the_knife_touching_the_bowl-2017-03-18-123724.mp4,put the knife touching the bowl,move the knife,put the knife behind the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_knife_touching_the_bowl/put_the_knife_touching_the_bowl-2017-03-18-123736.mp4,move the knife,put the knife touching the bowl,put the knife left the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_pencil_touching_the_bowl/put_the_pencil_touching_the_bowl-2017-03-18-160844.mp4,move the pencil,put the pencil in_front the bowl,put the pencil touching the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_pencil_touching_the_bowl/put_the_pencil_touching_the_bowl-2017-03-18-160857.mp4,put the pencil touching the bowl,put the pencil left the bowl,move the pencil
https://s3.amazonaws.com/voxsim-videos/video/put_the_pencil_touching_the_bowl/put_the_pencil_touching_the_bowl-2017-03-18-160905.mp4,put the pencil left the bowl,put the pencil touching the bowl,move the pencil
https://s3.amazonaws.com/voxsim-videos/video/put_the_paper_sheet_touching_the_bowl/put_the_paper_sheet_touching_the_bowl-2017-03-18-160913.mp4,put the paper sheet touching the bowl,move the paper sheet,put the paper sheet behind the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_paper_sheet_touching_the_bowl/put_the_paper_sheet_touching_the_bowl-2017-03-18-160921.mp4,move the paper sheet,put the paper sheet touching the bowl,put the paper sheet behind the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_paper_sheet_touching_the_bowl/put_the_paper_sheet_touching_the_bowl-2017-03-18-160928.mp4,put the paper sheet touching the bowl,put the paper sheet on the bowl,move the paper sheet
https://s3.amazonaws.com/voxsim-videos/video/put_the_plate_touching_the_knife/put_the_plate_touching_the_knife-2017-03-18-160935.mp4,put the plate on the knife,move the plate,put the plate touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_plate_touching_the_knife/put_the_plate_touching_the_knife-2017-03-18-160942.mp4,move the plate,put the plate left the knife,put the plate touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_plate_touching_the_knife/put_the_plate_touching_the_knife-2017-03-18-160954.mp4,put the plate touching the knife,move the plate,put the plate in_front the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_knife/put_the_cup_touching_the_knife-2017-03-18-161004.mp4,put the cup touching the knife,put the cup left the knife,move the cup
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_knife/put_the_cup_touching_the_knife-2017-03-18-161028.mp4,put the cup behind the knife,move the cup,put the cup touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_knife/put_the_cup_touching_the_knife-2017-03-18-161038.mp4,put the cup touching the knife,move the cup,put the cup behind the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_disc_touching_the_knife/put_the_disc_touching_the_knife-2017-03-18-161054.mp4,move the disc,put the disc in_front the knife,put the disc touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_disc_touching_the_knife/put_the_disc_touching_the_knife-2017-03-18-161104.mp4,put the disc right the knife,move the disc,put the disc touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_disc_touching_the_knife/put_the_disc_touching_the_knife-2017-03-18-161116.mp4,move the disc,put the disc left the knife,put the disc touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_book_touching_the_knife/put_the_book_touching_the_knife-2017-03-18-161125.mp4,put the book touching the knife,move the book,put the book on the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_book_touching_the_knife/put_the_book_touching_the_knife-2017-03-18-161135.mp4,put the book touching the knife,move the book,put the book  the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_book_touching_the_knife/put_the_book_touching_the_knife-2017-03-18-161318.mp4,put the book touching the knife,put the book right the knife,move the book
https://s3.amazonaws.com/voxsim-videos/video/put_the_blackboard_touching_the_knife/put_the_blackboard_touching_the_knife-2017-03-18-161342.mp4,move the blackboard,put the blackboard touching the knife,put the blackboard right the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_blackboard_touching_the_knife/put_the_blackboard_touching_the_knife-2017-03-18-161354.mp4,put the blackboard touching the knife,put the blackboard on the knife,move the blackboard
https://s3.amazonaws.com/voxsim-videos/video/put_the_blackboard_touching_the_knife/put_the_blackboard_touching_the_knife-2017-03-18-161400.mp4,move the blackboard,put the blackboard touching the knife,put the blackboard right the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_bottle_touching_the_knife/put_the_bottle_touching_the_knife-2017-03-18-161425.mp4,move the bottle,put the bottle right the knife,put the bottle touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_bottle_touching_the_knife/put_the_bottle_touching_the_knife-2017-03-18-161434.mp4,put the bottle left the knife,move the bottle,put the bottle touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_bottle_touching_the_knife/put_the_bottle_touching_the_knife-2017-03-18-161445.mp4,put the bottle behind the knife,put the bottle touching the knife,move the bottle
https://s3.amazonaws.com/voxsim-videos/video/put_the_grape_touching_the_knife/put_the_grape_touching_the_knife-2017-03-18-161508.mp4,put the grape touching the knife,move the grape,put the grape left the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_grape_touching_the_knife/put_the_grape_touching_the_knife-2017-03-18-161521.mp4,put the grape touching the knife,move the grape,put the grape right the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_grape_touching_the_knife/put_the_grape_touching_the_knife-2017-03-18-161532.mp4,put the grape in_front the knife,move the grape,put the grape touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_apple_touching_the_knife/put_the_apple_touching_the_knife-2017-03-18-161546.mp4,move the apple,put the apple on the knife,put the apple touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_apple_touching_the_knife/put_the_apple_touching_the_knife-2017-03-18-161553.mp4,put the apple touching the knife,put the apple on the knife,move the apple
https://s3.amazonaws.com/voxsim-videos/video/put_the_apple_touching_the_knife/put_the_apple_touching_the_knife-2017-03-18-161600.mp4,move the apple,put the apple in_front the knife,put the apple touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_banana_touching_the_knife/put_the_banana_touching_the_knife-2017-03-18-161624.mp4,put the banana left the knife,move the banana,put the banana touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_banana_touching_the_knife/put_the_banana_touching_the_knife-2017-03-18-161634.mp4,put the banana touching the knife,put the banana in_front the knife,move the banana
https://s3.amazonaws.com/voxsim-videos/video/put_the_banana_touching_the_knife/put_the_banana_touching_the_knife-2017-03-18-161647.mp4,put the banana touching the knife,move the banana,put the banana on the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_bowl_touching_the_knife/put_the_bowl_touching_the_knife-2017-03-18-161659.mp4,put the bowl touching the knife,put the bowl in_front the knife,move the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_bowl_touching_the_knife/put_the_bowl_touching_the_knife-2017-03-18-161717.mp4,put the bowl behind the knife,put the bowl touching the knife,move the bowl
https://s3.amazonaws.com/voxsim-videos/video/put_the_bowl_touching_the_knife/put_the_bowl_touching_the_knife-2017-03-18-161740.mp4,put the bowl in_front the knife,move the bowl,put the bowl touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_pencil_touching_the_knife/put_the_pencil_touching_the_knife-2017-03-18-161753.mp4,put the pencil on the knife,move the pencil,put the pencil touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_pencil_touching_the_knife/put_the_pencil_touching_the_knife-2017-03-18-161801.mp4,put the pencil touching the knife,move the pencil,put the pencil right the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_pencil_touching_the_knife/put_the_pencil_touching_the_knife-2017-03-18-161808.mp4,move the pencil,put the pencil right the knife,put the pencil touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_paper_sheet_touching_the_knife/put_the_paper_sheet_touching_the_knife-2017-03-18-161822.mp4,move the paper sheet,put the paper sheet touching the knife,put the paper sheet right the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_paper_sheet_touching_the_knife/put_the_paper_sheet_touching_the_knife-2017-03-18-161841.mp4,put the paper sheet left the knife,move the paper sheet,put the paper sheet touching the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_paper_sheet_touching_the_knife/put_the_paper_sheet_touching_the_knife-2017-03-18-161852.mp4,put the paper sheet touching the knife,move the paper sheet,put the paper sheet right the knife
https://s3.amazonaws.com/voxsim-videos/video/put_the_plate_touching_the_pencil/put_the_plate_touching_the_pencil-2017-03-18-162133.mp4,put the plate in_front the pencil,move the plate,put the plate touching the pencil
https://s3.amazonaws.com/voxsim-videos/video/put_the_plate_touching_the_pencil/put_the_plate_touching_the_pencil-2017-03-18-162158.mp4,put the plate left the pencil,put the plate touching the pencil,move the plate
https://s3.amazonaws.com/voxsim-videos/video/put_the_plate_touching_the_pencil/put_the_plate_touching_the_pencil-2017-03-18-162221.mp4,move the plate,put the plate touching the pencil,put the plate in_front the pencil
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_pencil/put_the_cup_touching_the_pencil-2017-03-18-162246.mp4,put the cup touching the pencil,put the cup on the pencil,move the cup
https://s3.amazonaws.com/voxsim-videos/video/put_the_cup_touching_the_pencil/put_the_cup_touching_the_pencil-2017-03-18-162511.mp4,move the cup,put the cup touching the pencil,put the cup in_front the pencil
